id,first_name,last_name,email,address,city,state,phone
37,Jessica,Freeman,jfreeman10@devhub.com,27997 Loftsgordon Lane,Dallas,TX,(214) 835-4205
38,Kenneth,Harrison,kharrison11@sitemeter.com,25074 Holmberg Park,Richardson,TX,(972) 774-1504
39,Betty,Austin,baustin12@nature.com,4 Schmedeman Terrace,Dallas,TX,(972) 927-7561
40,Irene,Gonzalez,igonzalez13@boston.com,820 Oxford Crossing,Dallas,TX,(214) 865-5203
41,Charles,Foster,cfoster14@mtv.com,850 Summerview Crossing,Dallas,TX,(469) 910-6688
42,Gregory,Perez,gperez15@myspace.com,57 Bluejay Pass,Dallas,TX,(972) 433-8549
43,Jose,Stone,jstone16@nhs.uk,93 Waywood Parkway,Dallas,TX,(972) 991-8017
44,Patrick,Moore,pmoore17@baidu.com,78 Crest Line Road,Dallas,TX,(214) 950-2446
45,Louis,Lynch,llynch18@zimbio.com,12197 Kinsman Center,Dallas,TX,(469) 820-4208
46,Matthew,Snyder,msnyder19@google.com.au,169 Mayfield Park,Richardson,TX,(469) 855-5018
47,Sara,Wagner,swagner1a@addtoany.com,24827 Twin Pines Junction,Richardson,TX,(469) 914-5869
48,Louise,Long,llong1b@gov.uk,6 Haas Center,Dallas,TX,(214) 939-0517
49,Judy,Hamilton,jhamilton1c@domainmarket.com,65364 Mosinee Center,Dallas,TX,(972) 847-2849
50,Evelyn,Young,eyoung1d@java.com,4788 South Street,Dallas,TX,(214) 864-9776
51,James,Moore,jmoore1e@wix.com,9089 Lunder Parkway,Dallas,TX,(469) 830-4056
52,Clarence,Romero,cromero1f@tumblr.com,68501 Michigan Street,Plano,TX,(972) 982-1803
53,Jennifer,Smith,jsmith1g@opensource.org,3 Cordelia Terrace,Dallas,TX,(469) 963-5598
54,Jack,Baker,jbaker1h@sina.com.cn,01441 Eastlawn Place,Dallas,TX,(972) 909-1277
55,Amy,Nguyen,anguyen1i@usa.gov,79 Rigney Circle,Dallas,TX,(214) 905-2261
56,Maria,Stevens,mstevens1j@tiny.cc,5348 David Point,Plano,TX,(972) 992-5831
57,Teresa,Carpenter,tcarpenter1k@angelfire.com,6280 Spenser Lane,Dallas,TX,(972) 908-2593
58,Roy,Arnold,rarnold1l@samsung.com,7548 Dunning Junction,Richardson,TX,(214) 990-9053
59,Randy,Stewart,rstewart1m@telegraph.co.uk,5004 Emmet Park,Dallas,TX,(469) 422-2991
60,Brenda,Fernandez,bfernandez1n@upenn.edu,335 Forster Alley,Dallas,TX,(214) 920-6944
61,Janet,Thompson,jthompson1o@cbslocal.com,1 Chinook Place,Plano,TX,(972) 986-8081
62,Billy,Ortiz,bortiz1p@privacy.gov.au,4 Hintze Court,Dallas,TX,(469) 808-1346
63,Edward,Hawkins,ehawkins1q@wix.com,96231 Northland Plaza,Dallas,TX,(972) 798-3752
64,Mark,Morgan,mmorgan1r@ed.gov,5 Miller Lane,Dallas,TX,(469) 784-6546
65,Carolyn,Morgan,cmorgan1s@dedecms.com,975 Golf View Place,Dallas,TX,(469) 674-8726
66,Tina,Weaver,tweaver1t@zdnet.com,5414 Green Ridge Street,Dallas,TX,(469) 840-0879
67,Eric,Taylor,etaylor1u@mozilla.org,6 Fisk Pass,Dallas,TX,(214) 714-7652
68,Ruth,Henry,rhenry1v@behance.net,84 Hermina Street,Dallas,TX,(972) 934-2054
69,Phillip,Perkins,pperkins1w@ezinearticles.com,84771 Bartelt Trail,Dallas,TX,(214) 917-4226
70,Annie,Welch,awelch1x@ftc.gov,80 Stuart Road,Dallas,TX,(972) 516-1320
71,Lois,Hunter,lhunter1y@vimeo.com,49 Blaine Lane,Plano,TX,(972) 809-1141
72,Lisa,Cook,lcook1z@netscape.com,4412 Lakewood Gardens Plaza,Richardson,TX,(972) 653-9871
73,Kathleen,Harvey,kharvey20@foxnews.com,13 Grayhawk Hill,Dallas,TX,(469) 547-7753
74,Diane,Stevens,dstevens21@home.pl,0091 American Circle,Dallas,TX,(469) 942-1364
75,Samuel,Young,syoung22@pcworld.com,0157 Holmberg Street,Richardson,TX,(469) 918-5729
76,Mark,Riley,mriley23@theglobeandmail.com,4900 Thompson Court,Dallas,TX,(972) 767-2036
77,Bonnie,Ross,bross24@discovery.com,0 Walton Court,Richardson,TX,(972) 766-6908
78,Elizabeth,Arnold,earnold25@bloglovin.com,952 Sage Pass,Dallas,TX,(214) 967-2424
79,John,Walker,jwalker26@fastcompany.com,2 Packers Crossing,Dallas,TX,(469) 796-5094
80,William,Simmons,wsimmons27@webeden.co.uk,1232 Hayes Crossing,Dallas,TX,(972) 903-7706
81,Lisa,Kelley,lkelley28@storify.com,3718 Twin Pines Way,Dallas,TX,(972) 900-0487
82,Carl,Larson,clarson29@sohu.com,096 Goodland Parkway,Dallas,TX,(469) 550-2228
83,Brandon,Anderson,banderson2a@cargocollective.com,8 Leroy Circle,Dallas,TX,(469) 993-9270
84,Gloria,Myers,gmyers2b@wufoo.com,03 Elmside Center,Plano,TX,(469) 853-3967
85,Daniel,Freeman,dfreeman2c@dell.com,9584 Elka Place,Dallas,TX,(972) 769-9270
86,Judith,Mitchell,jmitchell2d@vimeo.com,2506 Merchant Terrace,Dallas,TX,(972) 902-9669
87,Alan,King,aking2e@meetup.com,958 Burrows Street,Dallas,TX,(214) 583-5636
88,Steve,Phillips,sphillips2f@reverbnation.com,45557 Jana Court,Dallas,TX,(972) 937-9620
89,Brenda,Butler,bbutler2g@google.com.br,5 Calypso Avenue,Dallas,TX,(972) 892-6177
90,Patricia,Spencer,pspencer2h@psu.edu,65143 Union Lane,Dallas,TX,(214) 909-9264
91,Larry,Olson,lolson2i@cargocollective.com,50299 Lien Parkway,Dallas,TX,(972) 965-7073
92,Victor,Sullivan,vsullivan2j@yahoo.com,272 Milwaukee Point,Plano,TX,(972) 759-4852
93,Kathryn,Taylor,ktaylor2k@weather.com,2952 Thackeray Point,Dallas,TX,(214) 862-0958
94,Rachel,Little,rlittle2l@histats.com,755 Kropf Pass,Dallas,TX,(972) 797-7226
95,Donald,Richardson,drichardson2m@sun.com,951 Chive Avenue,Dallas,TX,(972) 934-6450
96,Stephen,Chapman,schapman2n@techcrunch.com,0 Lunder Alley,Dallas,TX,(214) 987-1376
97,Harold,Richardson,hrichardson2o@t-online.de,76743 Burrows Court,Dallas,TX,(469) 899-1924
98,Ernest,Palmer,epalmer2p@360.cn,6 Upham Drive,Dallas,TX,(972) 942-2638
99,Pamela,Matthews,pmatthews2q@ustream.tv,2 Green Lane,Dallas,TX,(214) 944-0666
100,Jason,Campbell,jcampbell2r@mozilla.com,6 Raven Court,Dallas,TX,(972) 811-4885
101,Joyce,Fuller,jfuller2s@theguardian.com,45900 Iowa Way,Dallas,TX,(469) 906-3524
102,Andrea,Bailey,abailey2t@squidoo.com,33 Cardinal Alley,Richardson,TX,(972) 846-5566
103,Denise,Perry,dperry2u@google.es,68 Old Shore Lane,Dallas,TX,(214) 991-3418
104,Michael,Jacobs,mjacobs2v@themeforest.net,0 Brentwood Place,Richardson,TX,(469) 924-9727
105,Catherine,Reid,creid2w@ezinearticles.com,41544 Anniversary Crossing,Plano,TX,(214) 948-8236
106,Aaron,Romero,aromero2x@cam.ac.uk,844 Union Way,Dallas,TX,(972) 535-5154
107,John,Warren,jwarren2y@sciencedirect.com,9127 Farragut Center,Dallas,TX,(469) 923-5725
108,Steve,Garrett,sgarrett2z@google.nl,729 Kenwood Court,Richardson,TX,(214) 703-1311
109,Jimmy,Ellis,jellis30@deliciousdays.com,8 Nevada Place,Dallas,TX,(972) 742-8738
110,Jose,Perez,jperez31@webmd.com,4463 Commercial Circle,Richardson,TX,(469) 852-3133
111,Katherine,Dean,kdean32@nature.com,4978 Cordelia Way,Dallas,TX,(972) 886-7232
112,Ashley,Jackson,ajackson33@whitehouse.gov,676 David Road,Dallas,TX,(469) 976-0450
113,Kathryn,Hart,khart34@imdb.com,29 Dexter Circle,Dallas,TX,(972) 900-3590
114,Dennis,Ruiz,druiz35@nymag.com,18784 Browning Circle,Dallas,TX,(972) 974-1505
115,Sharon,Cox,scox36@upenn.edu,4 Hoffman Street,Dallas,TX,(214) 915-0820
116,Ruby,Burke,rburke37@nytimes.com,5 Swallow Avenue,Dallas,TX,(972) 928-8965
117,Jerry,Stewart,jstewart38@aboutads.info,54494 Kenwood Trail,Dallas,TX,(469) 817-5662
118,Howard,Fisher,hfisher39@wisc.edu,2 Reinke Lane,Plano,TX,(972) 325-6683
119,Eric,Phillips,ephillips3a@telegraph.co.uk,578 Westend Pass,Dallas,TX,(972) 893-0831
120,Albert,Cruz,acruz3b@google.co.uk,04 Shopko Way,Dallas,TX,(972) 471-4420
121,Timothy,Harrison,tharrison3c@posterous.com,04099 Anhalt Place,Dallas,TX,(214) 849-7879
122,Ronald,Phillips,rphillips3d@ox.ac.uk,4632 Brentwood Hill,Dallas,TX,(469) 945-4638
123,Antonio,Bishop,abishop3e@google.com,212 Memorial Lane,Richardson,TX,(469) 835-8047
124,Howard,Green,hgreen3f@dyndns.org,9 Florence Trail,Dallas,TX,(214) 875-8195
125,Willie,Murphy,wmurphy3g@technorati.com,09 Loeprich Parkway,Richardson,TX,(214) 954-5495
126,Christine,Washington,cwashington3h@goo.gl,95086 Eliot Alley,Dallas,TX,(469) 844-5383
127,Angela,Ellis,aellis3i@irs.gov,61 Chinook Avenue,Dallas,TX,(469) 912-7557
128,Kathy,Wagner,kwagner3j@alibaba.com,1 Columbus Crossing,Plano,TX,(214) 958-2980
129,Antonio,Carr,acarr3k@livejournal.com,6996 Arizona Avenue,Dallas,TX,(469) 724-0803
130,Samuel,Ellis,sellis3l@domainmarket.com,69968 Meadow Ridge Alley,Dallas,TX,(469) 957-8249
131,Bruce,Williamson,bwilliamson3m@fc2.com,51 Maywood Place,Richardson,TX,(214) 969-6651
132,Ruby,Mcdonald,rmcdonald3n@qq.com,031 Ohio Lane,Dallas,TX,(214) 970-5621
133,Jack,Larson,jlarson3o@sourceforge.net,43086 Dexter Way,Dallas,TX,(469) 913-6292
134,Tammy,Hunter,thunter3p@google.ru,08 Marquette Pass,Dallas,TX,(214) 919-0495
135,Mildred,Richards,mrichards3q@t-online.de,6863 Warbler Crossing,Dallas,TX,(469) 636-7310
136,Janet,Dixon,jdixon3r@pbs.org,1 Ridgeway Terrace,Dallas,TX,(972) 381-9665
137,Antonio,Hamilton,ahamilton3s@bloglovin.com,2545 Lerdahl Center,Dallas,TX,(214) 886-6681
138,Louise,Jordan,ljordan3t@moonfruit.com,7326 Reindahl Point,Dallas,TX,(972) 518-9421
139,Linda,Hunt,lhunt3u@army.mil,710 Lighthouse Bay Point,Dallas,TX,(972) 754-7045
140,Joan,Webb,jwebb3v@amazon.com,90 Bashford Avenue,Dallas,TX,(469) 955-0632
141,Kevin,Frazier,kfrazier3w@g.co,47 Bluejay Hill,Dallas,TX,(972) 965-3683
142,Todd,Schmidt,tschmidt3x@adobe.com,4 Lakeland Pass,Dallas,TX,(214) 903-6828
143,Andrea,Sims,asims3y@paypal.com,898 Killdeer Pass,Dallas,TX,(469) 988-0761
144,Barbara,Brooks,bbrooks3z@tinypic.com,305 Mendota Plaza,Dallas,TX,(469) 958-8251
145,Kenneth,Anderson,kanderson40@smh.com.au,246 Shopko Drive,Richardson,TX,(972) 998-5406
146,Jessica,Knight,jknight41@admin.ch,36 Forest Park,Richardson,TX,(469) 961-0488
147,Dorothy,Adams,dadams42@reverbnation.com,2483 Melody Plaza,Richardson,TX,(972) 881-8472
148,Phillip,Adams,padams43@miibeian.gov.cn,4 Derek Point,Dallas,TX,(972) 918-0335
149,James,Carpenter,jcarpenter44@cyberchimps.com,6668 Ilene Court,Dallas,TX,(214) 820-8276
150,Amy,Lopez,alopez45@themeforest.net,715 Westend Avenue,Dallas,TX,(469) 830-1019
151,Frank,Gomez,fgomez46@unicef.org,61280 Mallory Parkway,Plano,TX,(214) 962-2973
152,Debra,Rogers,drogers47@weibo.com,4 Southridge Place,Richardson,TX,(469) 753-7894
153,Aaron,Chapman,achapman48@oakley.com,840 Messerschmidt Plaza,Dallas,TX,(972) 753-3651
154,Jerry,Cruz,jcruz49@utexas.edu,48314 Muir Crossing,Dallas,TX,(214) 973-8302
155,Gerald,Mccoy,gmccoy4a@archive.org,71113 Corry Circle,Plano,TX,(469) 758-3820
156,Matthew,Ward,mward4b@eepurl.com,3726 Oneill Terrace,Plano,TX,(972) 668-2488
157,Marilyn,Andrews,mandrews4c@last.fm,61664 Warrior Street,Dallas,TX,(972) 831-4215
158,Lawrence,Coleman,lcoleman4d@techcrunch.com,0 Scoville Plaza,Plano,TX,(469) 987-3187
159,Sarah,Burton,sburton4e@cnbc.com,65230 Prairie Rose Point,Plano,TX,(972) 736-0106
160,Gerald,White,gwhite4f@ocn.ne.jp,82 Delaware Plaza,Plano,TX,(214) 774-5757
161,Shawn,Robertson,srobertson4g@lulu.com,9 Troy Alley,Dallas,TX,(214) 943-9366
162,Samuel,Arnold,sarnold4h@google.com.br,1748 Monterey Road,Dallas,TX,(469) 741-5231
163,Ruby,Mcdonald,rmcdonald4i@sohu.com,00621 Killdeer Crossing,Dallas,TX,(469) 941-5043
164,Lillian,Kim,lkim4j@npr.org,47585 Nova Drive,Dallas,TX,(214) 740-2312
165,Pamela,Bradley,pbradley4k@disqus.com,2 Lakewood Gardens Place,Richardson,TX,(469) 871-3326
166,Ralph,Chavez,rchavez4l@eventbrite.com,15739 Vera Plaza,Dallas,TX,(214) 598-5319
167,Martin,Richards,mrichards4m@mysql.com,8 New Castle Trail,Dallas,TX,(469) 976-0263
168,Chris,Simmons,csimmons4n@canalblog.com,46833 Farmco Junction,Dallas,TX,(469) 810-0333
169,Martin,Stevens,mstevens4o@berkeley.edu,573 Oneill Hill,Dallas,TX,(469) 570-2393
170,Lisa,West,lwest4p@globo.com,55586 Ronald Regan Lane,Dallas,TX,(972) 998-4345
171,Daniel,Marshall,dmarshall4q@de.vu,3 Manitowish Crossing,Dallas,TX,(469) 730-4725
172,John,Hicks,jhicks4r@spotify.com,81 Northfield Place,Richardson,TX,(972) 727-1591
173,Roger,Harrison,rharrison4s@rakuten.co.jp,9 Meadow Vale Drive,Dallas,TX,(469) 941-5954
174,Teresa,Thompson,tthompson4t@networkadvertising.org,06364 Gerald Street,Dallas,TX,(972) 670-1547
175,Arthur,Freeman,afreeman4u@trellian.com,51652 Russell Street,Dallas,TX,(469) 994-4509
176,Howard,Simpson,hsimpson4v@yellowpages.com,95 Redwing Lane,Dallas,TX,(972) 910-0392
177,Christopher,Spencer,cspencer4w@uol.com.br,6 Northfield Crossing,Dallas,TX,(214) 821-9650
178,Theresa,Wood,twood4x@jigsy.com,0420 Westport Circle,Dallas,TX,(469) 994-1901
179,Lillian,Wright,lwright4y@ebay.com,82972 Raven Road,Dallas,TX,(972) 960-5502
180,Sara,Rogers,srogers4z@google.fr,7 Twin Pines Circle,Dallas,TX,(214) 984-5323
181,Linda,Richards,lrichards50@pagesperso-orange.fr,046 Harper Center,Dallas,TX,(214) 998-2489
182,Albert,Cunningham,acunningham51@shutterfly.com,414 Summer Ridge Trail,Richardson,TX,(972) 716-3924
183,Debra,Holmes,dholmes52@chron.com,22 Bluejay Road,Plano,TX,(972) 954-8773
184,Jason,Davis,jdavis53@qq.com,82931 Cardinal Junction,Dallas,TX,(214) 969-9787
185,Justin,Fowler,jfowler54@privacy.gov.au,1958 Leroy Way,Dallas,TX,(972) 915-2410
186,Catherine,Harris,charris55@so-net.ne.jp,4091 Doe Crossing Alley,Plano,TX,(469) 968-7984
187,Gary,Reyes,greyes56@wufoo.com,06 Shelley Parkway,Dallas,TX,(972) 985-2014
188,Clarence,Harvey,charvey57@vinaora.com,637 Blackbird Crossing,Dallas,TX,(972) 735-8046
189,Kathleen,Lynch,klynch58@tripod.com,0 Northview Center,Dallas,TX,(469) 858-9821
190,Angela,Myers,amyers59@unblog.fr,07 Jenifer Point,Plano,TX,(214) 996-3258
191,Paula,Roberts,proberts5a@about.me,2025 Annamark Court,Richardson,TX,(214) 919-1512
192,Marie,Hudson,mhudson5b@go.com,35523 Fulton Point,Richardson,TX,(972) 955-0047
193,Victor,George,vgeorge5c@paypal.com,16 Butterfield Place,Plano,TX,(469) 982-0024
194,Judith,Lane,jlane5d@miibeian.gov.cn,59463 Havey Center,Dallas,TX,(469) 962-1701
195,Steven,Carpenter,scarpenter5e@china.com.cn,64 Rutledge Court,Richardson,TX,(972) 759-2760
196,Beverly,Welch,bwelch5f@pinterest.com,0 7th Point,Richardson,TX,(214) 758-2027
197,Chris,Cox,ccox5g@wix.com,386 Coleman Avenue,Richardson,TX,(214) 902-1149
198,Heather,Duncan,hduncan5h@constantcontact.com,3 Acker Avenue,Richardson,TX,(972) 906-2444
199,Helen,Cooper,hcooper5i@intel.com,90887 Ohio Trail,Dallas,TX,(214) 723-9307
200,Linda,Dixon,ldixon5j@simplemachines.org,0506 Boyd Plaza,Richardson,TX,(214) 940-0096
201,Eric,Wood,ewood5k@cnbc.com,730 Bonner Hill,Dallas,TX,(972) 959-7132
202,Brenda,Brooks,bbrooks5l@kickstarter.com,4 Pennsylvania Hill,Dallas,TX,(972) 960-5440
203,Fred,Crawford,fcrawford5m@fastcompany.com,00 Mariners Cove Terrace,Dallas,TX,(972) 978-1543
204,Alan,Morris,amorris5n@businesswire.com,2238 Debra Center,Dallas,TX,(469) 701-3591
205,Jimmy,Watkins,jwatkins5o@msn.com,91873 Colorado Crossing,Dallas,TX,(469) 933-3579
206,Keith,Fisher,kfisher5p@ehow.com,2 Muir Crossing,Richardson,TX,(972) 999-1883
207,Rose,Oliver,roliver5q@reference.com,3152 Thackeray Point,Dallas,TX,(214) 971-9384
208,Johnny,Vasquez,jvasquez5r@diigo.com,809 Grover Circle,Dallas,TX,(972) 843-5554
209,Judith,Dunn,jdunn5s@huffingtonpost.com,337 Northview Point,Dallas,TX,(972) 999-1156
210,Roger,Freeman,rfreeman5t@opensource.org,13 Farmco Way,Dallas,TX,(469) 854-9842
211,Richard,Bailey,rbailey5u@fc2.com,3108 Browning Park,Richardson,TX,(214) 718-0392
212,Ernest,Palmer,epalmer5v@japanpost.jp,66600 Pleasure Drive,Dallas,TX,(214) 238-1120
213,Janice,Long,jlong5w@xrea.com,26577 Laurel Road,Dallas,TX,(214) 972-0889
214,Thomas,Schmidt,tschmidt5x@ucoz.ru,0 New Castle Crossing,Plano,TX,(469) 745-9014
215,Kathryn,Hayes,khayes5y@usa.gov,18504 Basil Hill,Dallas,TX,(469) 831-7793
216,Chris,Perkins,cperkins5z@nasa.gov,14865 John Wall Center,Plano,TX,(972) 957-3368
217,Thomas,Scott,tscott60@cpanel.net,449 Schurz Parkway,Dallas,TX,(469) 914-5396
218,Judy,Richards,jrichards61@narod.ru,9420 Main Hill,Dallas,TX,(469) 871-8324
219,Janice,Garrett,jgarrett62@naver.com,2998 Chive Place,Dallas,TX,(214) 809-6943
220,Raymond,Peterson,rpeterson63@friendfeed.com,892 Fairfield Point,Richardson,TX,(469) 947-5199
221,Marilyn,Williams,mwilliams64@blinklist.com,0 John Wall Circle,Dallas,TX,(214) 992-8183
222,Teresa,Reid,treid65@baidu.com,9224 Manufacturers Terrace,Dallas,TX,(972) 457-6436
223,Irene,Medina,imedina66@hhs.gov,51 Southridge Pass,Dallas,TX,(972) 994-3852
224,Linda,Carpenter,lcarpenter67@flavors.me,43 Dovetail Road,Dallas,TX,(972) 866-8440
225,Jonathan,Harrison,jharrison68@hp.com,113 Havey Crossing,Plano,TX,(469) 900-2769
226,Laura,Graham,lgraham69@rakuten.co.jp,72346 Emmet Place,Dallas,TX,(469) 892-4249
227,Sharon,Pierce,spierce6a@dmoz.org,9 Clove Trail,Dallas,TX,(972) 930-5410
228,Katherine,Boyd,kboyd6b@cafepress.com,90 Park Meadow Junction,Dallas,TX,(214) 652-5153
229,Brian,Perkins,bperkins6c@adobe.com,5988 Havey Street,Dallas,TX,(972) 973-2502
230,Eric,Cooper,ecooper6d@studiopress.com,7 Granby Road,Dallas,TX,(972) 970-2642
231,Randy,Stanley,rstanley6e@cbsnews.com,94552 Linden Court,Dallas,TX,(972) 815-8835
232,Pamela,Gutierrez,pgutierrez6f@cdbaby.com,50236 Goodland Lane,Plano,TX,(972) 968-2569
233,Keith,Perkins,kperkins6g@mayoclinic.com,9543 Farragut Road,Richardson,TX,(214) 804-0599
234,Scott,Spencer,sspencer6h@edublogs.org,5 Lukken Junction,Dallas,TX,(214) 701-4621
235,Todd,Bryant,tbryant6i@lycos.com,418 Onsgard Hill,Dallas,TX,(214) 980-7359
236,Jose,Anderson,janderson6j@comsenz.com,2705 Ohio Junction,Dallas,TX,(214) 530-2752
237,Amanda,Davis,adavis6k@studiopress.com,1636 Norway Maple Place,Plano,TX,(469) 913-5733
238,Richard,Cruz,rcruz6l@sina.com.cn,69 Marquette Park,Richardson,TX,(469) 902-7741
239,Sara,Walker,swalker6m@bloomberg.com,18924 3rd Circle,Dallas,TX,(972) 932-7544
240,Gloria,Sanders,gsanders6n@blog.com,36961 Green Ridge Place,Dallas,TX,(214) 937-3306
241,Jonathan,Harris,jharris6o@freewebs.com,286 Merry Way,Dallas,TX,(469) 873-4473
242,Juan,Fields,jfields6p@nationalgeographic.com,291 Marquette Parkway,Richardson,TX,(972) 916-7303
243,Wanda,Mills,wmills6q@twitter.com,79024 Surrey Way,Dallas,TX,(469) 920-6298
244,Karen,Davis,kdavis6r@discuz.net,83 Holy Cross Drive,Dallas,TX,(972) 890-5755
245,Scott,Montgomery,smontgomery6s@squarespace.com,96247 Oriole Circle,Dallas,TX,(972) 929-5312
246,Michael,Stevens,mstevens6t@reuters.com,356 Shoshone Drive,Dallas,TX,(469) 803-5017
247,Andrea,Baker,abaker6u@ning.com,90 Heath Drive,Dallas,TX,(469) 930-1109
248,Marilyn,Alexander,malexander6v@goo.gl,443 Dottie Circle,Dallas,TX,(972) 406-2617
249,Harry,Alvarez,halvarez6w@blogspot.com,636 Express Way,Dallas,TX,(214) 954-5716
250,Rose,Peterson,rpeterson6x@unesco.org,034 Shelley Drive,Dallas,TX,(972) 861-4171
251,Barbara,Garcia,bgarcia6y@chicagotribune.com,5690 Acker Road,Dallas,TX,(469) 517-8843
252,Ann,Berry,aberry6z@wix.com,37940 Morning Hill,Dallas,TX,(972) 918-7984
253,Paul,Turner,pturner70@eventbrite.com,75287 Pleasure Place,Dallas,TX,(972) 782-6768
254,Theresa,Day,tday71@skyrock.com,9 American Ash Crossing,Dallas,TX,(972) 909-4722
255,Andrew,Gilbert,agilbert72@npr.org,8 American Parkway,Dallas,TX,(972) 834-2804
256,Alice,Turner,aturner73@seesaa.net,4 Namekagon Lane,Dallas,TX,(214) 660-6741
257,Julie,Smith,jsmith74@nydailynews.com,61345 Namekagon Place,Dallas,TX,(469) 861-2346
258,Alice,Carr,acarr75@devhub.com,7564 Ohio Plaza,Dallas,TX,(214) 549-1687
259,Harry,Baker,hbaker76@hostgator.com,7 Straubel Center,Plano,TX,(469) 590-5412
260,Donna,Cooper,dcooper77@scientificamerican.com,1629 Summer Ridge Plaza,Dallas,TX,(469) 957-3027
261,Laura,Rogers,lrogers78@google.co.jp,7776 Summer Ridge Court,Dallas,TX,(972) 730-7675
262,Jessica,Hicks,jhicks79@chron.com,17138 Ryan Circle,Dallas,TX,(469) 815-6162
263,George,Turner,gturner7a@opera.com,4 Quincy Pass,Richardson,TX,(214) 958-2175
264,Joan,Watkins,jwatkins7b@phoca.cz,9601 Lerdahl Pass,Plano,TX,(214) 814-9170
265,Andrea,Gonzalez,agonzalez7c@jiathis.com,127 Russell Hill,Dallas,TX,(972) 809-5959
266,Billy,Little,blittle7d@spiegel.de,46 Autumn Leaf Junction,Dallas,TX,(972) 986-6001
267,Teresa,Marshall,tmarshall7e@opensource.org,2 Sheridan Trail,Dallas,TX,(469) 884-2394
268,Benjamin,Lynch,blynch7f@newyorker.com,53 Tennyson Park,Dallas,TX,(469) 877-9851
269,Nancy,Dixon,ndixon7g@instagram.com,4 Dwight Street,Dallas,TX,(972) 770-3641
